ShortName	FullName
ALLUSUB	Allium subvillosum
ALLUTRI	Allium triquetrum
ALLUURS	Allium ursinum
ALLUVIC	Allium victorialis
ALLUVIN	Allium vineale
ALNULUS	Alnus lusitanica
ALNU-SP	Alnus SPECIES
ALOCMAC	Alocasia macrorrhizos
ALOC-SP	Alocasia SPECIES
ALOEARB	Aloe arborescens
ALOEA-A	Aloe arborescens subsp. arborescens
ALOEMAC	Aloe maculata
ALOEM-M	Aloe maculata subsp. maculata
ALOE-SP	Aloe SPECIES
ALOEVER	Aloe vera
ALOICIL	Aloiampelos ciliaris
ALOIC;C	Aloiampelos ciliaris var. ciliaris
ALOI-SP	Aloiampelos SPECIES
ALOPAEQ	Alopecurus aequalis
ALOPARU	Alopecurus arundinaceus
ALOPGEN	Alopecurus geniculatus
ALOPMYO	Alopecurus myosuroides
ALOP-SP	Alopecurus SPECIES
ALPASET	Alpagrostis setacea
ALPAS;S	Alpagrostis setacea var. setacea
ALPA-SP	Alpagrostis SPECIES
ALTHCAN	Althaea cannabina
ALTHOFF	Althaea officinalis
ALTH-SP	Althaea SPECIES
ALTEORI	Althenia orientalis
ALTEO-O	Althenia orientalis subsp. orientalis
ALTE-SP	Althenia SPECIES
ALYSALY	Alyssum alyssoides
ALYSCOL	Alyssum collinum
ALYSGRA	Alyssum granatense
ALYSMIN	Alyssum minutum
ALYSSIM	Alyssum simplex
ALYS-SP	Alyssum SPECIES
AMARALB	Amaranthus albus
AMARBLI	Amaranthus blitoides
AMARBLT	Amaranthus blitum
AMARB-O	Amaranthus blitum subsp. oleraceus
AMARCRU	Amaranthus cruentus
AMARDEF	Amaranthus deflexus
AMARGRA	Amaranthus graecizans
AMARG-G	Amaranthus graecizans subsp. graecizans
AMARHYB	Amaranthus hybridus
AMARH-H	Amaranthus hybridus subsp. hybridus
AMARMUR	Amaranthus muricatus
AMARRET	Amaranthus retroflexus
AMAR-SP	Amaranthus SPECIES
AMAYBEL	Amaryllis belladonna
AMAY-SP	Amaryllis SPECIES
AMBRART	Ambrosia artemisiifolia
AMBR-SP	Ambrosia SPECIES
AMELOVA	Amelanchier ovalis
AMELO-O	Amelanchier ovalis subsp. ovalis
AMEL-SP	Amelanchier SPECIES
AMMACOC	Ammannia coccinea
AMMAC-C	Ammannia coccinea subsp. coccinea
AMMA-SP	Ammannia SPECIES
AMMIMAJ	Ammi majus
AMMIM-M	Ammi majus subsp. majus
AMMI-SP	Ammi SPECIES
AMMOPUS	Ammoides pusilla
AMMO-SP	Ammoides SPECIES
AMPEMAU	Ampelodesmos mauritanicus
AMPE-SP	Ampelodesmos SPECIES
ANACCOL	Anacamptis collina
ANACCOR	Anacamptis coriophora
ANACC-C	Anacamptis coriophora subsp. carpetana
ANACC-O	Anacamptis coriophora subsp. coriophora
ANACLAX	Anacamptis laxiflora
ANACL-L	Anacamptis laxiflora subsp. laxiflora
ANACMOR	Anacamptis morio
ANACM-C	Anacamptis morio subsp. champagneuxii
ANACM-M	Anacamptis morio subsp. morio
ANACM-P	Anacamptis morio subsp. picta
ANACPAP	Anacamptis papilionacea
ANACP-E	Anacamptis papilionacea subsp. expansa
ANACPYR	Anacamptis pyramidalis
ANACP;P	Anacamptis pyramidalis var. pyramidalis
ANAC-SP	Anacamptis SPECIES
ANAYCLA	Anacyclus clavatus
ANAYRAD	Anacyclus radiatus
ANAYR-R	Anacyclus radiatus subsp. radiatus
ANAY-SP	Anacyclus SPECIES
ANAGFOE	Anagyris foetida
ANAG-SP	Anagyris SPECIES
ANARBEL	Anarrhinum bellidifolium
ANARDUR	Anarrhinum duriminium
ANARLON	Anarrhinum longipedicellatum
ANAR-SP	Anarrhinum SPECIES
ANDRARE	Andryala arenaria
ANDRA-A	Andryala arenaria subsp. arenaria
ANDRA-P	Andryala arenaria subsp. parvipila
ANDRA;F	Andryala arenaria var. ficalhoana
ANDRINT	Andryala integrifolia
ANDRRAG	Andryala ragusina
ANDRROT	Andryala rothia
ANDR-SP	Andryala SPECIES
ANEMCOR	Anemone coronaria
ANEMPAL	Anemone palmata
ANEM-SP	Anemone SPECIES
ANEMTRI	Anemone trifolia
ANEMT-A	Anemone trifolia subsp. albida
ANETGRA	Anethum graveolens
ANET-SP	Anethum SPECIES
ANGELAN	Angelica lancifolia
ANGEMAJ	Angelica major
ANGEPAC	Angelica pachycarpa
ANGE-SP	Angelica SPECIES
ANGESYL	Angelica sylvestris
ANGES-S	Angelica sylvestris subsp. sylvestris
ANCHARV	Anchusa arvensis
ANCHAZU	Anchusa azurea
ANCHA;A	Anchusa azurea var. azurea
ANCHCAL	Anchusa calcarea
ANCHC-C	Anchusa calcarea subsp. calcarea
ANCHOVA	Anchusa ovata
ANCHPUE	Anchusa puechii
ANCH-SP	Anchusa SPECIES
ANCHUND	Anchusa undulata
ANCHU-G	Anchusa undulata subsp. granatensis
ANCHU-L	Anchusa undulata subsp. lamprocarpa
ANCHU-U	Anchusa undulata subsp. undulata
ANOGLEP	Anogramma leptophylla
ANOG-SP	Anogramma SPECIES
ANRECOR	Anredera cordifolia
ANRE-SP	Anredera SPECIES
ANTHALP	Anthemis alpestris
ANTHARV	Anthemis arvensis
ANTHA-A	Anthemis arvensis subsp. arvensis
ANTHA-I	Anthemis arvensis subsp. incrassata
ANTHCOT	Anthemis cotula
ANTHMAR	Anthemis maritima
ANTHM-M	Anthemis maritima subsp. maritima
ANTH-SP	Anthemis SPECIES
ANTELIL	Anthericum liliago
ANTE-SP	Anthericum SPECIES
ANTOAMA	Anthoxanthum amarum
ANTOARI	Anthoxanthum aristatum
ANTOODO	Anthoxanthum odoratum
ANTO-SP	Anthoxanthum SPECIES
ANTRCAU	Anthriscus caucalis
ANTRCER	Anthriscus cerefolium
ANTR-SP	Anthriscus SPECIES
ANTRSYL	Anthriscus sylvestris
ANTRS-S	Anthriscus sylvestris subsp. sylvestris
ANTYCOR	Anthyllis cornicina
ANTYHAM	Anthyllis hamosa
ANTYLOT	Anthyllis lotoides
ANTY-SP	Anthyllis SPECIES
ANTYVUL	Anthyllis vulneraria
ANTYV-F	Anthyllis vulneraria subsp. forondae
ANTYV-G	Anthyllis vulneraria subsp. gandogeri
ANTYV-I	Anthyllis vulneraria subsp. iberica
ANTYV-M	Anthyllis vulneraria subsp. maura
ANTIAGR	Antinoria agrostidea
ANTIA-A	Antinoria agrostidea subsp. agrostidea
ANTIA-N	Antinoria agrostidea subsp. annua
ANTIA-T	Antinoria agrostidea subsp. natans
ANTI-SP	Antinoria SPECIES
ANTNCIR	Antirrhinum cirrhigerum
ANTNCON	Antirrhinum controversum
ANTNGRA	Antirrhinum graniticum
ANTNG-G	Antirrhinum graniticum subsp. graniticum
ANTNLIN	Antirrhinum linkianum
ANTNMAJ	Antirrhinum majus
ANTNMOL	Antirrhinum molle
ANTNM-L	Antirrhinum molle subsp. lopesianum
ANTNONU	Antirrhinum onubense
ANTNROT	Antirrhinum rothmaleri
ANTN-SP	Antirrhinum SPECIES
APERINT	Apera interrupta
APER-SP	Apera SPECIES
APHYMON	Aphyllanthes monspeliensis
APHY-SP	Aphyllanthes SPECIES
APIUGRA	Apium graveolens
APIU-SP	Apium SPECIES
AQUIDIC	Aquilegia dichroa
AQUIHIS	Aquilegia hispanica
AQUI-SP	Aquilegia SPECIES
AQUIVUL	Aquilegia vulgaris
ARAB-SP	Arabidopsis SPECIES
ARABTHA	Arabidopsis thaliana
ARAIAUR	Arabis auriculata
ARAIBEI	Arabis beirana
ARAIHIR	Arabis hirsuta
ARAIH;S	Arabis hirsuta var. sadina
ARAIJUR	Arabis juressi
ARAIPLA	Arabis planisiliqua
ARAI-SP	Arabis SPECIES
ARAISTE	Arabis stenocarpa
ARAUSER	Araujia sericifera
ARAU-SP	Araujia SPECIES
ARBU-SP	Arbutus SPECIES
ARBUUNE	Arbutus unedo
ARCTLAP	Arctium lappa
ARCTL-L	Arctium lappa subsp. lappa
ARCTMIN	Arctium minus
ARCT-SP	Arctium SPECIES
ARCOCAL	Arctotheca calendula
ARCO-SP	Arctotheca SPECIES
ARCI-SP	Arctotis SPECIES
ARCISTO	Arctotis stoechadifolia
ARCIVEN	Arctotis venusta
ARENALG	Arenaria algarbiensis
ARENCON	Arenaria conimbricensis
ARENC-C	Arenaria conimbricensis subsp. conimbricensis
ARENEMA	Arenaria emarginata
ARENE-E	Arenaria emarginata subsp. emarginata
ARENLEP	Arenaria leptoclados
ARENMON	Arenaria montana
ARENM-M	Arenaria montana subsp. montana
ARENQUE	Arenaria querioides
ARENSER	Arenaria serpyllifolia
ARENS;L	Arenaria serpyllifolia var. lloydii
ARENS;S	Arenaria serpyllifolia var. serpyllifolia
AREN-SP	Arenaria SPECIES
ARGEANS	Argentina anserina
ARGEA-A	Argentina anserina subsp. anserina
ARGE-SP	Argentina SPECIES
ARGY-SP	Argyrolobium SPECIES
ARGYZAN	Argyrolobium zanonii
ARGYZ-Z	Argyrolobium zanonii subsp. zanonii
ARIAEDU	Aria edulis
ARIA-SP	Aria SPECIES
ARISSIM	Arisarum simorrhinum
ARISS;S	Arisarum simorrhinum var. simorrhinum
ARISS;U	Arisarum simorrhinum var. subexertum
ARIS-SP	Arisarum SPECIES
ARITBAE	Aristolochia baetica
ARITPAU	Aristolochia paucinervis
ARITPIS	Aristolochia pistolochia
ARIT-SP	Aristolochia SPECIES
ARMEARC	Armeria arcuata
ARMEBEI	Armeria beirana
ARMEBER	Armeria berlengensis
ARMEERI	Armeria eriophylla
ARMEGAD	Armeria gaditana
ARMEHUM	Armeria humilis
ARMEH-H	Armeria humilis subsp. humilis
ARMEH-O	Armeria humilis subsp. odorata
ARMELAN	Armeria langei
ARMEL-D	Armeria langei subsp. daveaui
ARMEL-L	Armeria langei subsp. langei
ARMELIN	Armeria linkiana
ARMEMAC	Armeria macrophylla
ARMEMAR	Armeria maritima
ARMEM;A	Armeria maritima f. aristulata
ARMEM-M	Armeria maritima subsp. maritima
ARMENEG	Armeria neglecta
ARMEPIN	Armeria pinifolia
ARMEPSE	Armeria pseudarmeria
ARMEPUB	Armeria pubigera
ARMEPUN	Armeria pungens
ARMEP;P	Armeria pungens var. pungens
ARMEP;V	Armeria pungens var. velutina
ARMEROU	Armeria rouyana
ARMESAM	Armeria sampaioi
ARME-SP	Armeria SPECIES
ARMETRA	Armeria transmontana
ARMEVEL	Armeria velutina
ARMEWEL	Armeria welwitschii
ARNIMON	Arnica montana
