ShortName	FullName
ANDRP-P	Andromeda polifolia subsp. polifolia
ANDRP;L	Andromeda polifolia var. latifolia
ANDR-SP	Andromeda SPECIES
ANDOGER	Andropogon gerardi
ANDOG;G	Andropogon gerardi var. gerardi
ANDO-SP	Andropogon SPECIES
ANDSSEP	Androsace septentrionalis
ANDS-SP	Androsace SPECIES
ANEMCAN	Anemonastrum canadense
ANEMRIC	Anemonastrum richardsonii
ANEM-SP	Anemonastrum SPECIES
ANEOCYL	Anemone cylindrica
ANEOMUL	Anemone multifida
ANEOM;H	Anemone multifida var. hudsoniana
ANEOPAR	Anemone parviflora
ANEOQUI	Anemone quinquefolia
ANEO-SP	Anemone SPECIES
ANEOVIR	Anemone virginiana
ANEOV;A	Anemone virginiana var. alba
ANEOV;C	Anemone virginiana var. cylindroidea
ANEOV;V	Anemone virginiana var. virginiana
ANETGRA	Anethum graveolens
ANET-SP	Anethum SPECIES
ANGEATR	Angelica atropurpurea
ANGELUC	Angelica lucida
ANGE-SP	Angelica SPECIES
ANGESYL	Angelica sylvestris
ANGES-S	Angelica sylvestris subsp. sylvestris
ANCHARV	Anchusa arvensis
ANCH-SP	Anchusa SPECIES
ANTEALP	Antennaria alpina
ANTEFRI	Antennaria friesiana
ANTEF-F	Antennaria friesiana subsp. friesiana
ANTEHOW	Antennaria howellii
ANTEH-C	Antennaria howellii subsp. canadensis
ANTEH-N	Antennaria howellii subsp. neodioica
ANTEH-P	Antennaria howellii subsp. petaloidea
ANTEMIC	Antennaria microphylla
ANTEMON	Antennaria monocephala
ANTEM-A	Antennaria monocephala subsp. angustata
ANTENEG	Antennaria neglecta
ANTEPAR	Antennaria parlinii
ANTEP-F	Antennaria parlinii subsp. fallax
ANTEP-P	Antennaria parlinii subsp. parlinii
ANTEPLA	Antennaria plantaginifolia
ANTEPUL	Antennaria pulcherrima
ANTEP-E	Antennaria pulcherrima subsp. eucosma
ANTEP-U	Antennaria pulcherrima subsp. pulcherrima
ANTEROS	Antennaria rosea
ANTER-A	Antennaria rosea subsp. arida
ANTER-C	Antennaria rosea subsp. confinis
ANTER-P	Antennaria rosea subsp. pulvinata
ANTE-SP	Antennaria SPECIES
ANTHARV	Anthemis arvensis
ANTHA-A	Anthemis arvensis subsp. arvensis
ANTHCOT	Anthemis cotula
ANTH-SP	Anthemis SPECIES
ANTOARC	Anthoxanthum arcticum
ANTOARI	Anthoxanthum aristatum
ANTOMON	Anthoxanthum monticola
ANTONIT	Anthoxanthum nitens
ANTOODO	Anthoxanthum odoratum
ANTORAC	Anthoxanthum racemosum
ANTO-SP	Anthoxanthum SPECIES
ANTRCER	Anthriscus cerefolium
ANTR-SP	Anthriscus SPECIES
ANTRSYL	Anthriscus sylvestris
ANTRS-S	Anthriscus sylvestris subsp. sylvestris
ANTIELE	Anticlea elegans
ANTIE-E	Anticlea elegans subsp. elegans
