ShortName	FullName
AJUGREP	Ajuga reptans
AJUG-SP	Ajuga SPECIES
AKEBQUI	Akebia quinata
AKEB-SP	Akebia SPECIES
ALCEBIE	Alcea biennis
ALCEROS	Alcea rosea
ALCERUG	Alcea rugosa
ALCE-SP	Alcea SPECIES
ALDR-SP	Aldrovanda SPECIES
ALDRVES	Aldrovanda vesiculosa
ALHAMAU	Alhagi maurorum
ALHA-SP	Alhagi SPECIES
ALCHACU	Alchemilla acutiloba
ALCHBAL	Alchemilla baltica
ALCHCON	Alchemilla conjuncta
ALCHCRI	Alchemilla crinita
ALCHCYM	Alchemilla cymatophylla
ALCHEFF	Alchemilla effusa
ALCHFIL	Alchemilla filicaulis
ALCHF-F	Alchemilla filicaulis subsp. filicaulis
ALCHF-V	Alchemilla filicaulis subsp. vestita
ALCHFIS	Alchemilla fissa
ALCHFLA	Alchemilla flabellata
ALCHGLA	Alchemilla glabra
ALCHGLB	Alchemilla glabricaulis
ALCHGLU	Alchemilla glaucescens
ALCHGRU	Alchemilla gruneica
ALCHMIC	Alchemilla micans
ALCHMOL	Alchemilla mollis
ALCHMON	Alchemilla monticola
ALCHOBT	Alchemilla obtusa
ALCHO-O	Alchemilla obtusa subsp. obtusa
ALCHO-T	Alchemilla obtusa subsp. trapezialis
ALCHPLI	Alchemilla plicata
ALCHPRO	Alchemilla propinqua
ALCHREN	Alchemilla reniformis
ALCHSER	Alchemilla sericata
ALCH-SP	Alchemilla SPECIES
ALCHSPE	Alchemilla speciosa
ALCHSTR	Alchemilla straminea
ALCHSUA	Alchemilla suavis
ALCHSUB	Alchemilla subcrenata
ALCHSUG	Alchemilla subglobosa
ALCHTYT	Alchemilla tytthantha
ALCHWAL	Alchemilla walasii
ALCHXAN	Alchemilla xanthochlora
ALISGRA	Alisma gramineum
ALISLAN	Alisma lanceolatum
ALISPLA	Alisma plantago-aquatica
ALIS-SP	Alisma SPECIES
ALLIPET	Alliaria petiolata
ALLI-SP	Alliaria SPECIES
ALLU*PR	Allium ×proliferum
ALLUANG	Allium angulosum
ALLUATR	Allium atropurpureum
ALLUATO	Allium atroviolaceum
ALLUCAR	Allium carinatum
ALLUCEP	Allium cepa
ALLUCEA	Allium cepa Aggregatum Group
ALLUCEB	Allium cepa Cepa Group
ALLUCRI	Allium cristophii
ALLUFIS	Allium fistulosum
ALLUFLA	Allium flavum
ALLUF-F	Allium flavum subsp. flavum
ALLUFUS	Allium fuscum
ALLUGIG	Allium giganteum
ALLUHOL	Allium hollandicum
ALLUKAR	Allium karataviense
ALLUMOL	Allium moly
ALLUNUT	Allium nutans
ALLUOLE	Allium oleraceum
ALLUORE	Allium oreophilum
ALLUPAR	Allium paradoxum
ALLUP;N	Allium paradoxum var. normale
ALLUP;P	Allium paradoxum var. paradoxum
ALLUPOR	Allium porrum
ALLUROS	Allium roseum
ALLUROT	Allium rotundum
ALLUR-R	Allium rotundum subsp. rotundum
ALLUSAT	Allium sativum
ALLUSCO	Allium scorodoprasum
ALLUSEN	Allium senescens
ALLUS-M	Allium senescens subsp. montanum
ALLUSCH	Allium schoenoprasum
ALLUS-S	Allium schoenoprasum subsp. schoenoprasum
ALLU-SP	Allium SPECIES
ALLUSPH	Allium sphaerocephalon
ALLUS-P	Allium sphaerocephalon subsp. sphaerocephalon
ALLUSTI	Allium stipitatum
ALLUSTR	Allium strictum
ALLUTUB	Allium tuberosum
ALLUURS	Allium ursinum
ALLUU-U	Allium ursinum subsp. ucrainicum
ALLUU-R	Allium ursinum subsp. ursinum
ALLUVIC	Allium victorialis
ALLUVIN	Allium vineale
ALLUZEB	Allium zebdanense
ALNU*PU	Alnus ×pubescens
ALNU*SI	Alnus ×silesiaca
ALNUALN	Alnus alnobetula
ALNUGLU	Alnus glutinosa
ALNUINC	Alnus incana
ALNURUG	Alnus rugosa
ALNU-SP	Alnus SPECIES
ALOP*BR	Alopecurus ×brachystylus
ALOPAEQ	Alopecurus aequalis
ALOPGEN	Alopecurus geniculatus
ALOPMYO	Alopecurus myosuroides
ALOPPRA	Alopecurus pratensis
ALOPREN	Alopecurus rendlei
ALOP-SP	Alopecurus SPECIES
ALTHARM	Althaea armeniaca
ALTHHIR	Althaea hirsuta
ALTHOFF	Althaea officinalis
ALTH-SP	Althaea SPECIES
ALTHTAU	Althaea taurinensis
ALYSALY	Alyssum alyssoides
ALYSARG	Alyssum argenteum
ALYSMON	Alyssum montanum
ALYSM-G	Alyssum montanum subsp. gmelinii
ALYSMUR	Alyssum murale
ALYSROS	Alyssum rostratum
ALYS-SP	Alyssum SPECIES
AMAR*AL	Amaranthus ×alleizettei
AMAR*OZ	Amaranthus ×ozanonii
AMAR*TU	Amaranthus ×turicensis
AMARACU	Amaranthus acutilobus
AMARALB	Amaranthus albus
AMARBLI	Amaranthus blitoides
AMARBLT	Amaranthus blitum
AMAR#BL	Amaranthus blitum agg.
AMARB-B	Amaranthus blitum subsp. blitum
AMARBOU	Amaranthus bouchonii
AMARCAU	Amaranthus caudatus
AMARC-C	Amaranthus caudatus subsp. caudatus
AMARC-S	Amaranthus caudatus subsp. saueri
AMARCRI	Amaranthus crispus
AMARCRU	Amaranthus cruentus
AMARDEF	Amaranthus deflexus
AMAREMA	Amaranthus emarginatus
AMARE-E	Amaranthus emarginatus subsp. emarginatus
AMARE-P	Amaranthus emarginatus subsp. pseudogracilis
AMARGRA	Amaranthus graecizans
AMARG-G	Amaranthus graecizans subsp. graecizans
AMARG-S	Amaranthus graecizans subsp. sylvestris
AMARG-T	Amaranthus graecizans subsp. thellungianus
AMARHYB	Amaranthus hybridus
AMAR#HY	Amaranthus hybridus agg.
AMARHYP	Amaranthus hypochondriacus
AMARPAL	Amaranthus palmeri
AMARPOW	Amaranthus powellii
AMARQUI	Amaranthus quitensis
AMARRET	Amaranthus retroflexus
AMARRUD	Amaranthus rudis
AMAR-SP	Amaranthus SPECIES
AMARSPI	Amaranthus spinosus
AMARVIR	Amaranthus viridis
AMBRART	Ambrosia artemisiifolia
AMBRPSI	Ambrosia psilostachya
AMBR-SP	Ambrosia SPECIES
AMBRTRI	Ambrosia trifida
AMELALN	Amelanchier alnifolia
AMELLAM	Amelanchier lamarckii
AMELOVA	Amelanchier ovalis
AMEL-SP	Amelanchier SPECIES
AMELSPI	Amelanchier spicata
AMMIMAJ	Ammi majus
AMMI-SP	Ammi SPECIES
AMMIVIS	Ammi visnaga
AMMOALA	Ammobium alatum
AMMO-SP	Ammobium SPECIES
AMORFRU	Amorpha fruticosa
AMOR-SP	Amorpha SPECIES
AMSILYC	Amsinckia lycopsoides
AMSI-SP	Amsinckia SPECIES
ANAC*TI	Anacamptis ×timbalii
ANACCOR	Anacamptis coriophora
ANACMOR	Anacamptis morio
ANACPAL	Anacamptis palustris
ANACPYR	Anacamptis pyramidalis
ANAC-SP	Anacamptis SPECIES
ANAYCLA	Anacyclus clavatus
ANAY-SP	Anacyclus SPECIES
ANAG*DO	Anagallis ×doerfleri
ANAGARV	Anagallis arvensis
ANAGFOE	Anagallis foemina
ANAGMON	Anagallis monelli
ANAG-SP	Anagallis SPECIES
ANAPMAR	Anaphalis margaritacea
ANAP-SP	Anaphalis SPECIES
ANDRPOL	Andromeda polifolia
ANDR-SP	Andromeda SPECIES
ANDOELO	Androsace elongata
ANDOMAX	Androsace maxima
ANDOSEP	Androsace septentrionalis
ANDO-SP	Androsace SPECIES
ANEMNAR	Anemonastrum narcissiflorum
ANEM-SP	Anemonastrum SPECIES
ANEO*SE	Anemone ×seemenii
ANEOHUP	Anemone hupehensis
ANEONEM	Anemone nemorosa
ANEORAN	Anemone ranunculoides
ANEO-SP	Anemone SPECIES
ANEOSYL	Anemone sylvestris
ANETGRA	Anethum graveolens
ANET-SP	Anethum SPECIES
ANGEARC	Angelica archangelica
ANGEA-A	Angelica archangelica subsp. archangelica
ANGEA-L	Angelica archangelica subsp. litoralis
ANGEPAL	Angelica palustris
ANGE-SP	Angelica SPECIES
ANGESYL	Angelica sylvestris
ANGES-B	Angelica sylvestris subsp. bernardiae
ANGES-S	Angelica sylvestris subsp. sylvestris
ANCHAZU	Anchusa azurea
ANCHOFF	Anchusa officinalis
ANCH-SP	Anchusa SPECIES
ANODCRI	Anoda cristata
ANOD-SP	Anoda SPECIES
ANTEDIO	Antennaria dioica
ANTE-SP	Antennaria SPECIES
ANTH*BO	Anthemis ×bollei
ANTH*OC	Anthemis ×ochroleuca
ANTHARV	Anthemis arvensis
ANTHAUS	Anthemis austriaca
ANTHCOT	Anthemis cotula
ANTH*TR	Anthemis cotula × Tripleurospermum inodorum
ANTHCRE	Anthemis cretica
ANTHC-C	Anthemis cretica subsp. columnae
ANTHRUT	Anthemis ruthenica
ANTH-SP	Anthemis SPECIES
ANTHTIN	Anthemis tinctoria
ANTHT-S	Anthemis tinctoria subsp. subtinctoria
ANTHT-T	Anthemis tinctoria subsp. tinctoria
ANTRLIL	Anthericum liliago
ANTRRAM	Anthericum ramosum
ANTR-SP	Anthericum SPECIES
ANTOALP	Anthoxanthum alpinum
ANTOARI	Anthoxanthum aristatum
ANTOODO	Anthoxanthum odoratum
ANTO#OD	Anthoxanthum odoratum agg.
ANTO-SP	Anthoxanthum SPECIES
ANTICAU	Anthriscus caucalis
ANTICER	Anthriscus cerefolium
ANTIC;C	Anthriscus cerefolium var. cerefolium
ANTIC;T	Anthriscus cerefolium var. trichocarpus
ANTINIT	Anthriscus nitidus
ANTI-SP	Anthriscus SPECIES
ANTISYL	Anthriscus sylvestris
ANTI#SY	Anthriscus sylvestris agg.
ANTIS-S	Anthriscus sylvestris subsp. sylvestris
ANTY-SP	Anthyllis SPECIES
ANTYVUL	Anthyllis vulneraria
ANTYV-C	Anthyllis vulneraria subsp. carpatica
ANTYV-P	Anthyllis vulneraria subsp. polyphylla
ANTYV-S	Anthyllis vulneraria subsp. pseudovulneraria
ANTNMAJ	Antirrhinum majus
ANTN-SP	Antirrhinum SPECIES
APERINT	Apera interrupta
APER-SP	Apera SPECIES
APERSPI	Apera spica-venti
APHAARV	Aphanes arvensis
APHAAUS	Aphanes australis
APHA-SP	Aphanes SPECIES
APIUGRA	Apium graveolens
APIU-SP	Apium SPECIES
APOSFOE	Aposeris foetida
APOS-SP	Aposeris SPECIES
AQUIATR	Aquilegia atrata
AQUI-SP	Aquilegia SPECIES
AQUIVUL	Aquilegia vulgaris
ARABARE	Arabidopsis arenosa
ARABA-A	Arabidopsis arenosa subsp. arenosa
ARABA-B	Arabidopsis arenosa subsp. borbasii
ARABHAL	Arabidopsis halleri
ARABH-H	Arabidopsis halleri subsp. halleri
ARABPET	Arabidopsis petraea
ARAB-SP	Arabidopsis SPECIES
ARABTHA	Arabidopsis thaliana
ARAIALP	Arabis alpina
ARAIAUR	Arabis auriculata
ARAICAU	Arabis caucasica
ARAIGLA	Arabis glabra
ARAIHIR	Arabis hirsuta
ARAI*NE	Arabis hirsuta × A. nemorensis
ARAI*SA	Arabis hirsuta × A. sagittata
ARAI#HI	Arabis hirsuta agg.
ARAINEM	Arabis nemorensis
ARAIPAU	Arabis pauciflora
ARAIPRO	Arabis procurrens
ARAISAG	Arabis sagittata
ARAI-SP	Arabis SPECIES
ARAISUD	Arabis sudetica
ARAITUR	Arabis turrita
ARCT*AM	Arctium ×ambiguum
ARCT*CI	Arctium ×cimbricum
ARCT*MA	Arctium ×maassii
ARCT*MI	Arctium ×mixtum
ARCT*NE	Arctium ×neumannii
ARCT*NO	Arctium ×nothum
ARCTLAP	Arctium lappa
ARCTMIN	Arctium minus
ARCTNEM	Arctium nemorosum
ARCT-SP	Arctium SPECIES
ARCTTOM	Arctium tomentosum
ARCO-SP	Arctostaphylos SPECIES
ARCOUVA	Arctostaphylos uva-ursi
ARCHCAL	Arctotheca calendula
ARCH-SP	Arctotheca SPECIES
AREMAGR	Aremonia agrimonoides
AREM-SP	Aremonia SPECIES
ARENGRA	Arenaria grandiflora
ARENLEP	Arenaria leptoclados
ARENSER	Arenaria serpyllifolia
AREN#SE	Arenaria serpyllifolia agg.
ARENS;P	Arenaria serpyllifolia var. patula
ARENS;S	Arenaria serpyllifolia var. serpyllifolia
AREN-SP	Arenaria SPECIES
ARGEMEX	Argemone mexicana
ARGE-SP	Argemone SPECIES
ARGYFRU	Argyranthemum frutescens
ARGY-SP	Argyranthemum SPECIES
ARISCLE	Aristolochia clematitis
ARISMAC	Aristolochia macrophylla
ARIS-SP	Aristolochia SPECIES
ARMEELO	Armeria elongata
ARMEE-E	Armeria elongata subsp. elongata
ARMEE-S	Armeria elongata subsp. serpentini
ARMEMAR	Armeria maritima
ARME-SP	Armeria SPECIES
ARMORUS	Armoracia rusticana
ARMO-SP	Armoracia SPECIES
ARNIMON	Arnica montana
ARNI-SP	Arnica SPECIES
ARNOMIN	Arnoseris minima
ARNO-SP	Arnoseris SPECIES
ARON*PR	Aronia ×prunifolia
ARONMEL	Aronia melanocarpa
ARON-SP	Aronia SPECIES
ARRHELA	Arrhenatherum elatius
ARRHE-E	Arrhenatherum elatius subsp. elatius
ARRH-SP	Arrhenatherum SPECIES
ARTEABR	Artemisia abrotanum
ARTEABS	Artemisia absinthium
ARTEALB	Artemisia alba
ARTEALP	Artemisia alpina
ARTEANN	Artemisia annua
ARTEAUS	Artemisia austriaca
ARTE#AU	Artemisia austriaca agg.
ARTEBIE	Artemisia biennis
ARTECAM	Artemisia campestris
ARTEC;C	Artemisia campestris var. campestris
ARTEC;L	Artemisia campestris var. lednicensis
ARTEDRA	Artemisia dracunculus
ARTELUD	Artemisia ludoviciana
ARTEL-L	Artemisia ludoviciana subsp. ludoviciana
ARTEPAN	Artemisia pancicii
ARTEPON	Artemisia pontica
ARTEREP	Artemisia repens
ARTESCO	Artemisia scoparia
ARTESIV	Artemisia siversiana
ARTE-SP	Artemisia SPECIES
ARTETOU	Artemisia tournefortiana
ARTEVER	Artemisia verlotiorum
ARTEVUL	Artemisia vulgaris
ARUMCYL	Arum cylindraceum
ARUMMAC	Arum maculatum
ARUM#MA	Arum maculatum agg.
ARUM-SP	Arum SPECIES
ARUNDIO	Aruncus dioicus
ARUN-SP	Aruncus SPECIES
ARUDDON	Arundo donax
ARUD-SP	Arundo SPECIES
ASAREUR	Asarum europaeum
ASARE-E	Asarum europaeum subsp. europaeum
ASARE;E	Asarum europaeum var. europaeum
ASARE;R	Asarum europaeum var. romanicum
ASAR-SP	Asarum SPECIES
ASCL-SP	Asclepias SPECIES
ASCLSYR	Asclepias syriaca
ASPAOFF	Asparagus officinalis
ASPAO-O	Asparagus officinalis subsp. officinalis
ASPA-SP	Asparagus SPECIES
ASPEPRO	Asperugo procumbens
ASPE-SP	Asperugo SPECIES
ASPRARV	Asperula arvensis
ASPRCYN	Asperula cynanchica
ASPRORI	Asperula orientalis
ASPR-SP	Asperula SPECIES
ASPRTIN	Asperula tinctoria
ASPRT-H	Asperula tinctoria subsp. hungarorum
ASPRT-T	Asperula tinctoria subsp. tinctoria
ASPL*AL	Asplenium ×alternifolium
ASPL*AT	Asplenium ×alternifolium nothosubsp. alternifolium
ASPL*AE	Asplenium ×alternifolium nothosubsp. heufleri
ASPL*CL	Asplenium ×clermontae
ASPL*PO	Asplenium ×poscharskyanum
ASPL*WO	Asplenium ×woynarianum
ASPLADI	Asplenium adiantum-nigrum
ASPLADU	Asplenium adulterinum
ASPLCET	Asplenium ceterach
ASPLC-C	Asplenium ceterach subsp. ceterach
ASPLCUN	Asplenium cuneifolium
ASPLRUT	Asplenium ruta-muraria
ASPLR-R	Asplenium ruta-muraria subsp. ruta-muraria
ASPLSCO	Asplenium scolopendrium
ASPLS-S	Asplenium scolopendrium subsp. scolopendrium
ASPLSEP	Asplenium septentrionale
ASPL-SP	Asplenium SPECIES
ASPLTRI	Asplenium trichomanes
ASPLT-L	Asplenium trichomanes nothosubsp. lovisianum
ASPLT-U	Asplenium trichomanes nothosubsp. lusaticum
ASPLT-M	Asplenium trichomanes nothosubsp. moravicum
ASPLT-S	Asplenium trichomanes nothosubsp. staufferi
ASPLT-H	Asplenium trichomanes subsp. hastatum
ASPLT-P	Asplenium trichomanes subsp. pachyrachis
ASPLT-Q	Asplenium trichomanes subsp. quadrivalens
ASPLT-T	Asplenium trichomanes subsp. trichomanes
ASPLVIR	Asplenium viride
ASTEALP	Aster alpinus
ASTEAME	Aster amellus
ASTEA-A	Aster amellus subsp. amellus
ASTEA-B	Aster amellus subsp. bessarabicus
ASTE-SP	Aster SPECIES
ASTIARE	Astilbe Arendsii Group
ASTI-SP	Astilbe SPECIES
ASTRALO	Astragalus alopecurus
ASTRARE	Astragalus arenarius
ASTRASP	Astragalus asper
ASTRAUS	Astragalus austriacus
ASTRCIC	Astragalus cicer
ASTRDAN	Astragalus danicus
ASTREXS	Astragalus exscapus
ASTRGLY	Astragalus glycyphylloides
ASTRGLC	Astragalus glycyphyllos
ASTRONO	Astragalus onobrychis
ASTR-SP	Astragalus SPECIES
ASTRSUL	Astragalus sulcatus
ASTAMAJ	Astrantia major
ASTA-SP	Astrantia SPECIES
ASTOORI	Astrodaucus orientalis
ASTO-SP	Astrodaucus SPECIES
ATHYDIS	Athyrium distentifolium
ATHYFIL	Athyrium filix-femina
ATHY-SP	Athyrium SPECIES
ATOCARM	Atocion armeria
ATOCRUP	Atocion rupestre
ATOC-SP	Atocion SPECIES
ATRIHOR	Atriplex hortensis
ATRIH;H	Atriplex hortensis var. hortensis
ATRIH;R	Atriplex hortensis var. rubra
ATRILIT	Atriplex littoralis
ATRIMIC	Atriplex micrantha
ATRIOBL	Atriplex oblongifolia
ATRIPAT	Atriplex patula
ATRIPRO	Atriplex prostrata
ATRIP-L	Atriplex prostrata subsp. latifolia
ATRIROS	Atriplex rosea
ATRISAG	Atriplex sagittata
ATRISEM	Atriplex semilunaris
ATRISIB	Atriplex sibirica
ATRI-SP	Atriplex SPECIES
ATRITAT	Atriplex tatarica
ATROBEL	Atropa bella-donna
ATRO-SP	Atropa SPECIES
AUBRCOL	Aubrieta columnae
AUBRDEL	Aubrieta deltoidea
AUBR-SP	Aubrieta SPECIES
AURISAX	Aurinia saxatilis
AURIS-S	Aurinia saxatilis subsp. saxatilis
AURI-SP	Aurinia SPECIES
AVENBAR	Avena barbata
AVENFAT	Avena fatua
AVENSAT	Avena sativa
AVENSAI	Avena sativa Contracta Group
AVENSAV	Avena sativa Chinensis Group
AVENSAA	Avena sativa Praegravis Group
AVENSAB	Avena sativa Sativa Group
AVEN-SP	Avena SPECIES
AVENSTE	Avena sterilis
AVENS-L	Avena sterilis subsp. ludoviciana
AVENS-S	Avena sterilis subsp. sterilis
AVENSTR	Avena strigosa
AVENVIL	Avena vilis
AVEEFLE	Avenella flexuosa
AVEE-SP	Avenella SPECIES
AXYRAMA	Axyris amaranthoides
AXYR-SP	Axyris SPECIES
AZOLFIL	Azolla filiculoides
AZOL-SP	Azolla SPECIES
BALLNIG	Ballota nigra
BALLN-M	Ballota nigra subsp. meridionalis
BALLN-N	Ballota nigra subsp. nigra
BALL-SP	Ballota SPECIES
BARB-SP	Barbarea SPECIES
BARBSTR	Barbarea stricta
BARBVUL	Barbarea vulgaris
BARBV-A	Barbarea vulgaris subsp. arcuata
BARBV-V	Barbarea vulgaris subsp. vulgaris
BARTALP	Bartsia alpina
BART-SP	Bartsia SPECIES
BASEALB	Basella alba
BASE-SP	Basella SPECIES
BASSLAN	Bassia laniflora
BASSPRO	Bassia prostrata
BASSSCO	Bassia scoparia
BASSS-D	Bassia scoparia subsp. densiflora
BASSS-S	Bassia scoparia subsp. scoparia
BASSS-C	Bassia scoparia subsp. scoparia 'Trichophylla'
BASS-SP	Bassia SPECIES
BECKERU	Beckmannia eruciformis
BECK-SP	Beckmannia SPECIES
BECKSYZ	Beckmannia syzigachne
BEGO*HO	Begonia ×hortensis
BEGO*TU	Begonia ×tuberhybrida
BEGO-SP	Begonia SPECIES
BELLMIC	Bellidiastrum michelii
BELL-SP	Bellidiastrum SPECIES
BELIPER	Bellis perennis
BELI-SP	Bellis SPECIES
BERBJUL	Berberis julianae
BERB-SP	Berberis SPECIES
BERBTHU	Berberis thunbergii
