ShortName	FullName
AGRTGIG	Agrostis gigantea
AGRT*ST	Agrostis gigantea x stolonifera
AGRTRUP	Agrostis rupestris
AGRT-SP	Agrostis species
AGRTSTO	Agrostis stolonifera
AGRT#ST	Agrostis stolonifera agg.
AGRT*VN	Agrostis stolonifera x vinealis
AGRTVIN	Agrostis vinealis
AGRT*SO	Agrostis x murbeckii (A. capillaris x stolonifera)
AGYRRUF	Agyrium rufum
AGYR-SP	Agyrium species
ACHIASP	Achillea asplenifolia
ACHICOL	Achillea collina
ACHI*PR	Achillea collina x pratensis
ACHICRI	Achillea crithmifolia
ACHIFIL	Achillea filipendulina
ACHIGRA	Achillea grandifolia
ACHICHR	Achillea chrysocoma
ACHIMAC	Achillea macrophylla
ACHIMIL	Achillea millefolium
ACHI#MI	Achillea millefolium agg.
ACHIM-M	Achillea millefolium ssp. millefolium
ACHI*PA	Achillea millefolium ssp. millefolium x pratensis
ACHIM-S	Achillea millefolium ssp. sudetica
ACHINOB	Achillea nobilis
ACHIPAN	Achillea pannonica
ACHIPRA	Achillea pratensis
ACHIPTA	Achillea ptarmica
ACHISET	Achillea setacea
ACHI-SP	Achillea species
ACHISTY	Achillea styriaca
ACHITOM	Achillea tomentosa
ACHI*PN	Achillea x incognita (A. millefolium x pannonica)
ACHN-SP	Achnatherum species
AILAALT	Ailanthus altissima
AILA-SP	Ailanthus species
AIRACAR	Aira caryophyllea
AIRAPRA	Aira praecox
AIRA-SP	Aira species
AJUGGEN	Ajuga genevensis
AJUGC-C	Ajuga chamaepitys ssp. chamaepitys
AJUGC-H	Ajuga chamaepitys ssp. chia
AJUGPYR	Ajuga pyramidalis
AJUG*RE	Ajuga pyramidalis x reptans
AJUGREP	Ajuga reptans
AJUG-SP	Ajuga species
AJUG*PY	Ajuga x adulterina (A. genevensis x pyramidalis)
AJUG*RP	Ajuga x hybrida (A. genevensis x reptans)
ALCEBIE	Alcea biennis
ALCEROS	Alcea rosea
ALCERUG	Alcea rugosa
ALCE-SP	Alcea species
ALDR-SP	Aldrovanda species
ALDRVES	Aldrovanda vesiculosa
ALECNIG	Alectoria nigricans
ALECOCH	Alectoria ochroleuca
ALECSAR	Alectoria sarmentosa
ALEC-SP	Alectoria species
ALCHALP	Alchemilla alpina
ALCHBAL	Alchemilla baltica
ALCHCON	Alchemilla conjuncta
ALCHCOR	Alchemilla corcontica
ALCHCRI	Alchemilla crinita
ALCHCYM	Alchemilla cymatophylla
ALCHEFF	Alchemilla effusa
ALCHFIL	Alchemilla filicaulis
ALCHF;F	Alchemilla filicaulis var. filicaulis
ALCHF;V	Alchemilla filicaulis var. vestita
ALCHFIS	Alchemilla fissa
ALCHFLA	Alchemilla flabellata
ALCHGLA	Alchemilla glabra
ALCHGLU	Alchemilla glaucescens
ALCHGRU	Alchemilla gruneica
ALCHHYB	Alchemilla hybrida s.lat.*
ALCHMIC	Alchemilla micans
ALCHMOL	Alchemilla mollis
ALCHMON	Alchemilla monticola
ALCHOBT	Alchemilla obtusa
ALCHO-O	Alchemilla obtusa ssp. obtusa
