Number	ShortName	FullName
2288	CARESTR	Carex strigosa
2289	CARESUP	Carex supina
2290	CARESYL	Carex sylvatica
2291	CARETOM	Carex tomentosa
2293	CAREUMB	Carex umbrosa
2294	CAREVAG	Carex vaginata
2295	CAREVES	Carex vesicaria
2296	CAREVIR	Carex oederi
2297	CARE#VU	Carex vulpina agg.
2298	CAREVUL	Carex vulpina
2301	"CAREP;S"	Carex praecox
2302	CAREPSU	Carex pseudobrizoides
2303	CARE-SP	Carex species
2304	CARLACA	Carlina acaulis
2305	CARLA-A	Carlina acaulis ssp. acaulis
2306	CARLA-C	Carlina acaulis ssp. caulescens
2307	CARLBIE	Carlina biebersteinii
2308	CARLB-B	Carlina biebersteinii ssp. biebersteinii
2309	CARLB-R	Carlina biebersteinii ssp. brevibracteata
2310	CARL#VU	Carlina vulgaris agg.
2311	CARLVUL	Carlina vulgaris
2312	CARL-SP	Carlina species
2315	CARIBET	Carpinus betulus
2316	CARIORI	Carpinus orientalis
2317	CARI-SP	Carpinus species
2318	CARTLAN	Carthamus lanatus
2319	CARTTIN	Carthamus tinctorius
2320	CART-SP	Carthamus species
2321	CARCCAR	Carum carvi
2322	CARC-SP	Carum species
2323	CASTSAT	Castanea sativa
2324	CAST-SP	Castanea species
2325	CATAAQU	Catabrosa aquatica
2326	CATA-SP	Catabrosa species
2327	CATNCAE	Catananche caerulea
2328	CATN-SP	Catananche species
2329	CATPRIG	Catapodium rigidum
2330	CATPR-R	Catapodium rigidum
2331	CATP-SP	Catapodium species
2332	CATYCIN	Catapyrenium cinereum
2333	CATYDAE	Catapyrenium daedaleum
2334	CATYIMB	Catapyrenium imbecillum
2335	CATYLAC	Catapyrenium lachneum
2336	"CATYL;O"	Catapyrenium lachneum var. oleosum
2337	CATYLAI	Catapyrenium lacinulatum
2338	CATYMIC	Catapyrenium michelii
2339	CATYNOR	Catapyrenium norvegicum
2340	CATYPIL	Catapyrenium pilosellum
2341	CATYRUF	Catapyrenium rufescens
2342	CATYSQU	Catapyrenium squamulosum
2343	CATYTRA	Catapyrenium trachyticum
2344	CATYVEL	Catapyrenium velebiticum
2345	CATYWAL	Catapyrenium waltheri
2346	CATY-SP	Catapyrenium species
2347	CATIALP	Catillaria alpina
2348	CATIARG	Catillaria argillacea
2349	CATIATO	Catillaria atomarioides
2350	"CATIC;C"	Catillaria chalybeia var. chloropoliza
2351	CATICHA	Catillaria chalybeia
2352	CATICON	Catillaria contristans
2353	CATIDET	Catillaria detractula
2354	CATIERY	Catillaria erysiboides
2355	CATILEN	Catillaria lenticularis
2356	CATILOJ	Catillaria lojkana
2357	CATIMIN	Catillaria minuta
2358	CATINIG	Catillaria nigroclavata
2359	CATIPRA	Catillaria praeposita
2360	CATIRUG	Catillaria rugulosa
2361	CATISCU	Catillaria sculpturata
2362	CATISPO	Catillaria spodiza
2363	CATI-SP	Catillaria species
2364	CATRATR	Catinaria atropurpurea
2365	CATRLAU	Catinaria laureri
2366	CATRNEU	Catinaria neuschildii
2367	CATR-SP	Catinaria species
2368	CATOWAH	Catolechia wahlenbergii
2369	CATO-SP	Catolechia species
2370	CATSNIG	Catoscopium nigritum
2371	CATS-SP	Catoscopium species
2372	CAUCPLA	Caucalis platycarpos
2373	CAUCP-M	Caucalis platycarpos ssp. muricata
2374	CAUCP-P	Caucalis platycarpos ssp. platycarpos
2375	CAUC-SP	Caucalis species
2376	CECIUMB	Cecidonia umbonella
2377	CECIXEN	Cecidonia xenophana
2378	CECI-SP	Cecidonia species
2379	CELASCA	Celastrus scandens
2380	CELA-SP	Celastrus species
2381	CELOARG	Celosia argentea
2382	CELO-SP	Celosia species
2383	CELTOCC	Celtis occidentalis
2384	CELT-SP	Celtis species
2386	CENC-SP	Cenchrus species
2387	CENTCAL	Centaurea calcitrapa
2388	CENTCYA	Centaurea cyanus
2390	CENTDIF	Centaurea diffusa
2391	CENTJAC	Centaurea jacea
2392	CENTJ-A	Centaurea jacea ssp. angustifolia
2394	CENTJ-J	Centaurea jacea ssp. jacea
2396	CENTJ-O	Centaurea oxylepis
2397	CENTJ-P	Centaurea jacea
2398	CENTJ-S	Centaurea x fleischeri
2399	CENTMON	Centaurea montana
2400	CENTM-M	Centaurea montana ssp. mollis
2401	CENTM-O	Centaurea montana ssp. montana
2403	CENTNIG	Centaurea nigra
2405	CENTNIR	Centaurea nigrescens
2406	CENTN-I	Centaurea nigrescens
2409	CENT#PH	Centaurea phrygia agg.
2410	CENTPHR	Centaurea phrygia
2411	CENTPSE	Centaurea pseudophrygia
2414	CENTSCA	Centaurea scabiosa
2419	CENTS-C	Centaurea scabiosa ssp. scabiosa
2422	CENTSOL	Centaurea solstitialis
2423	CENTSTE	Centaurea stenolepis
2424	CENTSTO	Centaurea stoebe
2426	CENTS-I	Centaurea stoebe
2427	CENTS-O	Centaurea stoebe
2428	CENTTRI	Centaurea triumfetti
2430	CENTT-X	Centaurea triumfetti
2435	CENTDEA	Psephellus dealbatus
2437	CENTJ-N	Centaurea jacea ssp. angustifolia
2439	CENTMEL	Centaurea melitensis
2440	CENTN-G	Centaurea nigra
2442	CENTP-P	Centaurea phrygia
2443	CENT-SP	Centaurea species
2444	CENAERY	Centaurium erythraea
2445	CENAE-E	Centaurium erythraea ssp. erythraea
2446	CENALIT	Centaurium littorale
2448	CENAL-U	Centaurium littorale ssp. compressum
2449	CENAPUL	Centaurium pulchellum
2450	CENA-SP	Centaurium species
2451	CENRRUB	Centranthus ruber
2452	CENR-SP	Centranthus species
2453	CENUMIN	Centunculus minimus
2454	CENU-SP	Centunculus species
2455	CEPHDAM	Cephalanthera damasonium
2456	CEPHLON	Cephalanthera longifolia
2457	CEPHRUB	Cephalanthera rubra
2458	CEPH-SP	Cephalanthera species
2460	CEPASYR	Cephalaria syriaca
2462	CEPAGIG	Cephalaria gigantea
2464	CEPA-SP	Cephalaria species
2465	"CEPLL;C"	Cephalophysis leucospila var. caelivicina
2466	"CEPLL;L"	Cephalophysis leucospila var. leucospila
2467	CEPLLEU	Cephalophysis leucospila
2468	CEPL-SP	Cephalophysis species
2469	CEPOAMB	Cephalozia ambigua
2470	CEPOBIC	Cephalozia bicuspidata
2471	"CEPOB;B"	Cephalozia bicuspidata var. bicuspidata
2472	"CEPOB;L"	Cephalozia bicuspidata var. lammersiana
2473	CEPOCAT	Cephalozia catenulata
2474	CEPOCON	Cephalozia connivens
2475	CEPOHIB	Cephalozia hibernica
2476	CEPOLAC	Cephalozia lacinulata
2477	CEPOLEU	Cephalozia leucantha
2478	CEPOLOI	Cephalozia loitlesbergeri
2479	CEPOLUN	Cephalozia lunulifolia
2480	CEPOMAC	Cephalozia macounii
2481	CEPOMAR	Cephalozia macrostachya
2482	"CEPOM;M"	Cephalozia macrostachya var. macrostachya
2483	"CEPOM;S"	Cephalozia macrostachya var. spinifera
2484	CEPOPLE	Cephalozia pleniceps
2485	CEPO-SP	Cephalozia species
2486	CEPZARC	Cephaloziella arctica
2487	CEPZBAU	Cephaloziella baumgartneri
2488	CEPZCAL	Cephaloziella calyculata
2489	CEPZDEN	Cephaloziella dentata
2490	CEPZDIV	Cephaloziella divaricata
2491	"CEPZD;D"	Cephaloziella divaricata var. divaricata
2492	"CEPZD;S"	Cephaloziella divaricata var. scabra
2493	CEPZELA	Cephaloziella elachista
2494	CEPZELE	Cephaloziella elegans
2495	CEPZGRI	Cephaloziella grimsulana
2496	CEPZHAM	Cephaloziella hampeana
2497	CEPZINT	Cephaloziella integerrima
2498	CEPZMAS	Cephaloziella massalongi
2499	CEPZNIC	Cephaloziella nicholsonii
2500	CEPZPHY	Cephaloziella phyllacantha
2501	CEPZRUB	Cephaloziella rubella
2502	"CEPZR;A"	Cephaloziella rubella var. arctogena
2503	"CEPZR;R"	Cephaloziella rubella var. rubella
2504	"CEPZR;S"	Cephaloziella rubella var. sullivantii
2505	CEPZSPI	Cephaloziella spinigera
2506	CEPZSTE	Cephaloziella stellulifera
2507	CEPZTUR	Cephaloziella turneri
2508	CEPZUNC	Cephaloziella uncinata
2509	CEPZ-SP	Cephaloziella species
2511	CERAALS	Cerastium alsinifolium
2512	CERAARV	Cerastium arvense
2513	CERAA-A	Cerastium arvense ssp. arvense
2516	CERABIE	Cerastium biebersteinii
2517	CERA#BR	Cerastium brachypetalum agg.
2518	CERABRA	Cerastium brachypetalum
2519	CERAB-B	Cerastium brachypetalum
2520	CERAB-T	Cerastium brachypetalum
2525	CERADUB	Cerastium dubium
2526	CERA#FO	Cerastium fontanum agg.
2527	CERAFON	Cerastium fontanum
2528	CERAGLO	Cerastium glomeratum
2529	CERAGLU	Cerastium glutinosum
2530	CERAHOL	Cerastium holosteoides
2534	CERALUC	Cerastium lucorum
2536	CERA#PU	Cerastium pumilum agg.
2537	CERAPUM	Cerastium pumilum
2539	CERASEM	Cerastium semidecandrum
2541	CERATEN	Cerastium tenoreanum
2542	CERATOM	Cerastium tomentosum
2545	CERA-SP	Cerastium species
2547	CERTORT	Ceratocephala orthoceras
2548	CERT-SP	Ceratocephala species
2549	CEROCON	Ceratodon conicus
2550	CEROHET	Ceratodon heterophyllus
2551	CEROPUR	Ceratodon purpureus
2552	CEROP-C	Ceratodon purpureus ssp. conicus
2553	CEROP-P	Ceratodon purpureus ssp. purpureus
2554	CEROP-U	Ceratodon purpureus ssp. purpureus var. brevidens
2555	CEROP-R	Ceratodon purpureus ssp. purpureus var. purpureus
2556	CERO-SP	Ceratodon species
2557	CERPDEM	Ceratophyllum demersum
2558	CERPD-D	Ceratophyllum demersum
2560	CERPSUB	Ceratophyllum submersum
2561	CERP-SP	Ceratophyllum species
2562	CERETHA	Ceratopteris thalictroides
2563	CERE-SP	Ceratopteris species
2564	CERCCAU	Cercidospora caudata
2565	CERCCEC	Cercidospora cecidiiformans
2566	CERCEPI	Cercidospora epipolytropa
2567	CERCLIC	Cercidospora lichenicola
2568	CERCSTE	Cercidospora stereocaulorum
2569	CERCULO	Cercidospora ulothii
2570	CERCVER	Cercidospora verrucosaria
2571	CERC-SP	Cercidospora species
2572	CERISIL	Cercis siliquastrum
2573	CERI-SP	Cercis species
2575	CERNMIN	Cerinthe minor
2576	CERNM-M	Cerinthe minor
2579	CERN-SP	Cerinthe species
2580	CETRAGN	Cetraria agnata
2581	CETRCHL	Cetraria chlorophylla
2582	CETRCOM	Cetraria commixta
2583	CETRCOI	Cetraria commixta f. sorediella
2584	CETRCUC	Cetraria cucullata
2585	CETRDEL	Cetraria delisei
2586	CETRERI	Cetraria ericetorum
2587	CETRHEP	Cetraria hepatizon
2588	CETRISL	Cetraria islandica
2589	CETRI-C	Cetraria islandica ssp. crispiformis
2590	CETRLAU	Cetraria laureri
2591	CETRNIV	Cetraria nivalis
2592	CETROAK	Cetraria oakesiana
2593	CETRPIN	Cetraria pinastri
2594	CETRSEP	Cetraria sepincola
2595	CETRTIL	Cetraria tilesii
2596	CETRTUB	Cetraria tubulosa
2597	CETR-SP	Cetraria species
2598	CETECET	Cetrelia cetrarioides
2599	CETECHI	Cetrelia chicitae
2600	CETEOLI	Cetrelia olivetorum
2601	CETE-SP	Cetrelia species
2602	CHAESPE	Chaenomeles speciosa
2603	CHAE-SP	Chaenomeles species
2604	CHANBRA	Chaenotheca brachypoda
2605	CHANBRU	Chaenotheca brunneola
2606	CHANCHL	Chaenotheca chlorella
2607	CHANCHR	Chaenotheca chrysocephala
2608	CHANCIN	Chaenotheca cinerea
2609	CHANFER	Chaenotheca ferruginea
2610	CHANFUR	Chaenotheca furfuracea
2611	CHANHIS	Chaenotheca hispidula
2612	CHANLAE	Chaenotheca laevigata
2613	CHANPHA	Chaenotheca phaeocephala
2614	CHANSER	Chaenotheca servitii
2615	CHANSUB	Chaenotheca subroscida
2616	CHANTRI	Chaenotheca trichialis
2617	CHANXYL	Chaenotheca xyloxena
2618	CHAN-SP	Chaenotheca species
2619	CHAOALB	Chaenothecopsis alboatra
2620	CHAOCON	Chaenothecopsis consociata
2621	CHAODEB	Chaenothecopsis debilis
2622	CHAOEPI	Chaenothecopsis epithallina
2623	CHAOEXS	Chaenothecopsis exsertum
2624	CHAOHOS	Chaenothecopsis hospitans
2625	CHAOKOE	Chaenothecopsis koerberi
2626	CHAOPAR	Chaenothecopsis parasitaster
2627	CHAOPUS	Chaenothecopsis pusilla
2628	CHAOPUI	Chaenothecopsis pusiola
2629	CHAOSER	Chaenothecopsis servitii
2630	CHAOVAI	Chaenothecopsis vainioana
2631	CHAOVIR	Chaenothecopsis viridialba
2632	CHAOVII	Chaenothecopsis viridireagens
2633	CHAO-SP	Chaenothecopsis species
2634	CHARARO	Chaerophyllum aromaticum
2635	CHARAUR	Chaerophyllum aureum
2636	CHARBUL	Chaerophyllum bulbosum
2637	CHAR#HI	Chaerophyllum hirsutum
2638	CHARHIR	Chaerophyllum hirsutum
2639	CHARTEM	Chaerophyllum temulum
2641	CHAR-SP	Chaerophyllum species
2642	CHAMLAW	Chamaecyparis lawsoniana
2643	CHAM-SP	Chamaecyparis species
2644	CHAAALB	Chamaecytisus albus
2645	CHAAAUS	Chamaecytisus austriacus
2649	CHAAPUR	Chamaecytisus purpureus
2650	CHAARAT	Chamaecytisus ratisbonensis
2651	CHAASUP	Chamaecytisus supinus
2652	CHAAVIR	Chamaecytisus virescens
2653	CHAA-SP	Chamaecytisus species
2655	CHALNOB	Chamaemelum nobile
2656	CHAL-SP	Chamaemelum species
2657	CHASCAN	Euphorbia chamaesyce
2659	CHASHUM	Euphorbia humifusa
2660	CHASMAC	Euphorbia maculata
2664	CHAS-SP	Euphorbia (Chamaesyce) species
2667	CHABASP	Chara aspera
2668	CHABBAU	Chara baueri
2669	CHABCAN	Chara canescens
2670	CHABCON	Chara connivens
2671	CHABDEL	Chara delicatula
2672	CHABGLO	Chara globularis
2673	CHABGAL	Chara galioides
2674	CHABHIS	Chara hispida
2675	CHABKOK	Chara kokeilii
2676	CHABSTR	Chara strigosa
2677	CHABTEN	Chara tenuispina
2678	CHABTOM	Chara tomentosa
2679	CHABVUL	Chara vulgaris
2680	CHAB-SP	Chara species
2681	CHAPBRA	Chara braunii
2682	CHAB-SP	Charopsis species
2683	CHEICHL	Cheilothela chloropus
2684	CHEI-SP	Cheilothela species
2685	CHERFLA	Cheiromycina flabelliformis
2686	CHERPET	Cheiromycina petri
2687	CHER-SP	Cheiromycina species
2688	CHELMAJ	Chelidonium majus
2689	CHEL-SP	Chelidonium species
2690	CHENACU	Chenopodium acuminatum
2691	CHEN#AL	Chenopodium album agg.
2692	CHENALB	Chenopodium album
2693	CHENA-A	Chenopodium album ssp. album
2694	CHENA-B	Chenopodium album
2695	CHENA-P	Chenopodium album ssp. pedunculare
2696	CHENAMB	Dysphania ambrosioides
2698	CHENBER	Chenopodium berlandieri
2699	CHENB-Z	Chenopodium berlandieri ssp. zschackei
2700	CHENBON	Chenopodium bonus-henricus
2701	CHENBOT	Dysphania botrys
2702	CHENCAP	Chenopodium capitatum
2703	CHENCHE	Chenopodium chenopodioides
2705	CHENFIC	Chenopodium ficifolium
2706	CHENFOL	Chenopodium foliosum
2708	CHENGLA	Chenopodium glaucum
2709	CHENHIR	Chenopodium hircinum
2710	CHENHYB	Chenopodium hybridum
2711	CHENINT	Dysphania ambrosioides
2712	CHENMEL	Dysphania melanocarpa
2713	CHENMIS	Chenopodium missouriense
2714	CHENMUR	Chenopodium murale
2715	CHENNIT	Chenopodium nitrariaceum
2716	CHENOPU	Chenopodium opulifolium
2717	CHENPOL	Chenopodium polyspermum
2718	CHENPRO	Chenopodium probstii
2719	CHENPRS	Chenopodium karoi
2720	CHENPUM	Dysphania pumilio
2721	CHENQUI	Chenopodium quinoa
2722	CHEN#RU	Chenopodium chenopodioides+rubrum
2723	CHENRUB	Chenopodium rubrum
2724	CHENSCH	Dysphania schraderiana
2725	CHENSTR	Chenopodium strictum
2726	CHENS-S	Chenopodium striatiforme
2727	CHENS-T	Chenopodium strictum
2728	CHENSUE	Chenopodium suecicum
2729	CHENURB	Chenopodium urbicum
2730	CHENVUL	Chenopodium vulvaria
2731	CHEN-SP	Chenopodium species
2732	CHILPOL	Chiloscyphus polyanthos
2733	"CHILP;P"	Chiloscyphus polyanthos var. pallescens
2734	"CHILP;O"	Chiloscyphus polyanthos var. polyanthos
2735	CHIL-SP	Chiloscyphus species
2736	CHIMUMB	Chimaphila umbellata
2737	CHIM-SP	Chimaphila species
2738	CHLORAD	Chloris radiata
2739	CHLOTRU	Chloris truncata
2740	CHLOVIR	Chloris virgata
2741	CHLO-SP	Chloris species
2742	CHLRSTA	Tolpis staticifolia
2743	CHLR-SP	Tolpis species
2745	CHONJUN	Chondrilla juncea
2746	CHON-SP	Chondrilla species
2747	CHORTEN	Chorispora tenella
2748	CHOR-SP	Chorispora species
2749	CHROMUS	Chromatochlamys muscorum
2750	"CHROM;M"	Chromatochlamys muscorum var. muscorum
2751	"CHROM;O"	Chromatochlamys muscorum var. octospora
2752	CHROVEZ	Chromatochlamys vezdae
2753	CHRO-SP	Chromatochlamys species
2754	CHRYCOR	Glebionis coronaria
2755	CHRYSEG	Glebionis segetum
2756	CHRY-SP	Chrysanthemum species
2759	CHRPALT	Chrysosplenium alternifolium
2760	CHRPOPP	Chrysosplenium oppositifolium
2761	CHRP-SP	Chrysosplenium species
2762	CHRTCAN	Chrysothrix candelaris
2763	CHRTCHL	Chrysothrix chlorina
2764	CHRTCHR	Chrysothrix chrysophtalma
2765	CHRT-SP	Chrysothrix species
2766	CICEARI	Cicer arietinum
2767	CICRALP	Cicerbita alpina
2768	CICRMAC	Cicerbita macrophylla
2769	CICR-SP	Cicerbita species
2771	CICHEND	Cichorium endivia
2772	CICHINT	Cichorium intybus
2773	CICH-SP	Cichorium species
2774	CICUVIR	Cicuta virosa
2775	CICU-SP	Cicuta species
2776	CIMIEUR	Actaea europaea
2777	CIMI-SP	Actaea species
2778	CINCARC	Cinclidium arcticum
2779	CINCLAT	Cinclidium latifolium
2780	CINCSTY	Cinclidium stygium
2781	CINCSUB	Cinclidium subrotundum
2782	CINC-SP	Cinclidium species
2783	CINLAQU	Cinclidotus aquaticus
2784	CINLDAN	Cinclidotus danubicus
2785	CINLFON	Cinclidotus fontinaloides
2786	CINLMUC	Cinclidotus mucronatus
2787	CINLPAC	Cinclidotus pachylomoides
2788	CINLRIP	Cinclidotus riparius
2789	CINL-SP	Cinclidotus species
2790	CIRCALP	Circaea alpina
2791	CIRCLUT	Circaea lutetiana
2792	CIRCL-L	Circaea lutetiana
2794	CIRC*IN	Circaea x intermedia
2795	CIRC-SP	Circaea species
2796	CIRRCIR	Cirriphyllum cirrosum
2797	CIRRPIL	Cirriphyllum piliferum
2798	CIRRTOM	Cirriphyllum tommasinii
2799	CIRR-SP	Cirriphyllum species
2800	CIRSACA	Cirsium acaulon
2801	CIRSARV	Cirsium arvense
2802	CIRSBRA	Cirsium brachycephalum
2803	CIRSCAN	Cirsium canum
2805	CIRSERI	Cirsium eriophorum
2806	CIRSE-E	Cirsium eriophorum
2808	CIRSHET	Cirsium heterophyllum
2809	CIRSOLE	Cirsium oleraceum
2810	CIRSPAL	Cirsium palustre
2811	CIRSPAN	Cirsium pannonicum
2812	CIRSRIV	Cirsium rivulare
2814	CIRSTUB	Cirsium tuberosum
2815	CIRSVUL	Cirsium vulgare
2818	CIRSECH	Cirsium echinus
2820	CIRS-SP	Cirsium species
2823	CITRLAN	Citrullus lanatus
2824	CITR-SP	Citrullus species
2827	CLADMAR	Cladium mariscus
2828	CLAD-SP	Cladium species
2829	CLAOACU	Cladonia acuminata
2830	CLAOAMA	Cladonia amaurocraea
2831	CLAOARB	Cladonia arbuscula
2832	CLAOA-M	Cladonia arbuscula ssp. mitis
2833	CLAOA-S	Cladonia arbuscula ssp. squarrosa
2834	CLAOBAC	Cladonia bacillaris
2835	CLAOBAI	Cladonia bacilliformis
2836	CLAOBEL	Cladonia bellidiflora
2837	CLAOBOT	Cladonia botrytes
2838	CLAOCAE	Cladonia caespiticia
2839	CLAOCAR	Cladonia carassensis
2840	CLAOCAI	Cladonia cariosa
2841	CLAOCAN	Cladonia carneola
2842	CLAOCEN	Cladonia cenotea
2843	CLAOCER	Cladonia cervicornis
2844	CLAOC-C	Cladonia cervicornis ssp. cervicornis
2845	CLAOC-V	Cladonia cervicornis ssp. verticillata
2846	CLAOCHL	Cladonia chlorophaea
2847	"CLAOC;C"	Cladonia ciliata var. ciliata
2848	"CLAOC;T"	Cladonia ciliata var. tenuis
2849	CLAOCIL	Cladonia ciliata
2850	CLAOCOC	Cladonia coccifera
2851	CLAOCON	Cladonia coniocraea
2852	CLAOCOV	Cladonia convoluta
2853	CLAOCOR	Cladonia cornuta
2854	CLAOCRI	Cladonia crispata
2855	"CLAOC;E"	Cladonia crispata var. cetrariiformis
2856	"CLAOC;R"	Cladonia crispata var. crispata
2857	CLAOCRY	Cladonia cryptochlorophaea
2858	CLAOCYA	Cladonia cyanipes
2859	CLAODEC	Cladonia decorticata
2860	CLAODEF	Cladonia deformis
2861	CLAODIG	Cladonia digitata
2862	CLAOECM	Cladonia ecmocyna
2863	CLAOFIM	Cladonia fimbriata
2864	CLAOFIR	Cladonia firma
2865	CLAOFOL	Cladonia foliacea
2866	CLAOFUR	Cladonia furcata
2867	CLAOF-F	Cladonia furcata ssp. furcata
2868	CLAOF-S	Cladonia furcata ssp. subrangiformis
2869	CLAOGLA	Cladonia glauca
2870	CLAOGRA	Cladonia gracilis
2871	CLAOGRY	Cladonia grayi
2872	CLAOINC	Cladonia incrassata
2873	CLAOLUT	Cladonia luteoalba
2874	CLAOMAC	Cladonia macilenta
2875	CLAOM-F	Cladonia macilenta ssp. floerkeana
2876	CLAOM-M	Cladonia macilenta ssp. macilenta
2877	CLAOMAR	Cladonia macroceras
2878	CLAOMAO	Cladonia macrophylla
2879	CLAOMAP	Cladonia macrophyllodes
2880	CLAOMAG	Cladonia magyarica
2881	CLAOMER	Cladonia merochlorophaea
2882	CLAOMIT	Cladonia mitis
2883	CLAONOR	Cladonia norvegica
2884	CLAOOCH	Cladonia ochrochlora
2885	CLAOPAR	Cladonia parasitica
2886	CLAOPEZ	Cladonia peziziformis
2887	CLAOPHY	Cladonia phyllophora
2888	CLAOPLE	Cladonia pleurota
2889	CLAOPOC	Cladonia pocillum
2890	CLAOPOL	Cladonia polycarpoides
2891	CLAOPOY	Cladonia polydactyla
2892	CLAOPOR	Cladonia portentosa
2893	CLAOPYX	Cladonia pyxidata
2894	CLAORAM	Cladonia ramulosa
2895	CLAORAN	Cladonia rangiferina
2896	CLAORAG	Cladonia rangiformis
2897	CLAOREI	Cladonia rei
2898	CLAOSCA	Cladonia scabriuscula
2899	CLAOSQU	Cladonia squamosa
2900	"CLAOS;S"	Cladonia squamosa var. squamosa
2901	"CLAOS;U"	Cladonia squamosa var. subsquamosa
2902	CLAOSTE	Cladonia stellaris
2903	CLAOSTR	Cladonia strepsilis
2904	CLAOSTI	Cladonia stricta
2905	CLAOSTY	Cladonia stygia
2906	CLAOSUB	Cladonia subfurcata
2907	CLAOSUL	Cladonia sublacunosa
2908	CLAOSUS	Cladonia subsquamosa
2909	CLAOSUU	Cladonia subulata
2910	CLAOSUP	Cladonia sulphurina
2911	CLAOSYM	Cladonia symphycarpa
2912	CLAOTUR	Cladonia turgida
2913	CLAOUNC	Cladonia uncialis
2914	CLAOVER	Cladonia verticillata
2915	CLAO-SP	Cladonia species
2916	CLAPFLU	Cladopodiella fluitans
2917	CLAPFRA	Cladopodiella francisci
2918	CLAP-SP	Cladopodiella species
2919	CLAIWHI	Claopodium whippleanum
2920	CLAI-SP	Claopodium species
2922	CLARPUL	Clarkia pulchella
2923	CLAR-SP	Clarkia species
2924	CLASPAR	Clasmatodon parvulus
2925	CLAS-SP	Clasmatodon species
2926	CLAUCHO	Clauzadea chondrodes
2927	CLAUIMM	Clauzadea immersa
2928	CLAUMET	Clauzadea metzleri
2929	CLAUMON	Clauzadea monticola
2930	CLAU-SP	Clauzadea species
2931	CLAZMAC	Clauzadeana macula
2932	CLAZ-SP	Clauzadeana species
2933	CLAYALS	Claytonia sibirica
2934	CLAYPER	Claytonia perfoliata
2935	CLAY-SP	Claytonia species
2936	CLEISER	Cleistogenes serotina
2937	CLEI-SP	Cleistogenes species
2939	CLEMFLA	Clematis flammula
2941	CLEMINT	Clematis integrifolia
2942	CLEMREC	Clematis recta
2943	CLEMTAN	Clematis tangutica
2944	CLEMVIT	Clematis vitalba
2945	CLEMVII	Clematis viticella
2947	CLEM-SP	Clematis species
2952	CLIMDEN	Climacium dendroides
2953	CLIM-SP	Climacium species
2954	CLINVUL	Clinopodium vulgare
2955	CLINV-V	Clinopodium vulgare
2956	CLIN-SP	Clinopodium species
2957	CLIOCOR	Cliostomum corrugatum
2958	CLIOGRI	Cliostomum griffithii
2959	CLIO-SP	Cliostomum species
2960	CLYPHYP	Clypeococcum hypocenomyces
2961	CLYP-SP	Clypeococcum species
2962	CNESALP	Cnestrum alpestre
2963	CNESGLA	Cnestrum glaucescens
2964	CNESSCH	Cnestrum schisti
2965	CNES-SP	Cnestrum species
2966	CNICBEN	Centaurea benedicta
2967	CNIC-SP	Centaurea species
2973	COCH-SP	Cochlearia species
2974	COELACU	Coelocaulon aculeatum
2975	COELMUR	Coelocaulon muricatum
2976	COEL-SP	Coelocaulon species
2977	COEOVIR	Coeloglossum viride
2978	COEO-SP	Coeloglossum species
2983	COLCAUT	Colchicum autumnale
2985	COLC-SP	Colchicum species
2986	COLESUB	Coleanthus subtilis
2987	COLE-SP	Coleanthus species
2988	COLOMYC	Coleostephus myconis
2989	COLO-SP	Coleostephus species
2990	COLLAUR	Collema auriforme
2991	COLLBAC	Collema bachmannianum
2992	COLLCAL	Collema callopismum
2993	COLLCER	Collema ceraniscum
2994	COLLCOC	Collema coccophorum
2995	COLLCON	Collema conglomeratum
2996	"COLLC;C"	Collema conglomeratum var. conglomeratum
2997	COLLCRI	Collema crispum
2998	"COLLC;R"	Collema crispum var. crispum
2999	"COLLC;M"	Collema crispum var. metzleri
3000	COLLCRS	Collema cristatum
3001	"COLLC;I"	Collema cristatum var. cristatum
3002	"COLLC;A"	Collema cristatum var. marginale
3003	COLLDIC	Collema dichotomum
3004	COLLFAS	Collema fasciculare
3005	COLLFLA	Collema flaccidum
3006	COLLFRA	Collema fragrans
3007	COLLFUR	Collema furfuraceum
3008	COLLFUS	Collema fuscovirens
3009	COLLGLE	Collema glebulentum
3010	COLLLIG	Collema ligerinum
3011	COLLLIM	Collema limosum
3012	COLLMUL	Collema multipartitum
3013	COLLNIG	Collema nigrescens
3014	COLLOCC	Collema occultatum
3015	COLLPAR	Collema parvum
3016	COLLPOL	Collema polycarpon
3017	COLLP-C	Collema polycarpon ssp. corcyrense
3018	COLLSUB	Collema subflaccidum
3019	COLLTEN	Collema tenax
3020	"COLLT;E"	Collema tenax var. expansum
3021	"COLLT;S"	Collema tenax var. substellatum
3022	COLLUND	Collema undulatum
3023	"COLLU;G"	Collema undulatum var. granulosum
3024	"COLLU;U"	Collema undulatum var. undulatum
3025	COLL-SP	Collema species
3026	COLMMUR	Collemopsis murorum
3027	COLMSCH	Collemopsis schaereri
3028	COLM-SP	Collemopsis species
3031	COLAGRA	Collomia grandiflora
3032	COLA-SP	Collomia species
3033	COLJCAL	Cololejeunea calcarea
3034	COLJMIN	Cololejeunea minutissima
3035	COLJROS	Cololejeunea rossettiana
3036	COLJ-SP	Cololejeunea species
3037	COLUCAL	Colura calyptrifolia
3038	COLU-SP	Colura species
3039	COLTARB	Colutea arborescens
3042	COLT-SP	Colutea species
3046	COMMCOM	Commelina communis
3047	COMM-SP	Commelina species
3048	CONITAT	Conioselinum tataricum
3049	CONI-SP	Conioselinum species
3050	CONUMAC	Conium maculatum
