Number	ShortName	FullName
194	AEGO-SP	Aegopodium species
195	AESCHIP	Aesculus hippocastanum
196	AESC-SP	Aesculus species
198	AETH-SP	Aethionema species
199	AETUCYN	Aethusa cynapium
200	AETUC-A	Aethusa cynapium ssp. cynapium
201	AETUC-C	Aethusa cynapium ssp. elata
202	AETUC-Y	Aethusa cynapium ssp. cynapium
203	AETU-SP	Aethusa species
204	AGERALT	Ageratina altissima
205	AGER-SP	Ageratina species
206	AGEAHOU	Ageratum houstonianum
207	AGEA-SP	Ageratum species
208	AGONTRI	Agonimia tristicula
209	AGON-SP	Agonimia species
210	AGRIEUP	Agrimonia eupatoria
211	AGRIE-E	Agrimonia eupatoria ssp. eupatoria
213	AGRIPRO	Agrimonia procera
215	AGRI-SP	Agrimonia species
217	AGROPEC	Agropyron pectinatum
218	AGRO-SP	Agropyron species
219	AGRSGIT	Agrostemma githago
221	AGRS-SP	Agrostemma species
224	AGRTALP	Agrostis alpina
225	AGRT#CA	Agrostis canina agg.
226	AGRTCAN	Agrostis canina
227	AGRTCAP	Agrostis capillaris
228	AGRTCAS	Agrostis castellana
229	AGRTGIG	Agrostis gigantea
231	AGRTRUP	Agrostis rupestris
233	AGRT#ST	Agrostis stolonifera agg.
234	AGRTSTO	Agrostis stolonifera
235	AGRTVIN	Agrostis vinealis
237	AGRT-SP	Agrostis species
238	AGYRRUF	Agyrium rufum
239	AGYR-SP	Agyrium species
240	AILAALT	Ailanthus altissima
241	AILA-SP	Ailanthus species
242	AIRACAR	Aira caryophyllea
244	AIRAPRA	Aira praecox
245	AIRA-SP	Aira species
246	AJUGCHA	Ajuga chamaepitys ssp. chamaepitys
247	AJUGGEN	Ajuga genevensis
248	AJUGPYR	Ajuga pyramidalis
249	AJUGREP	Ajuga reptans
250	AJUG-SP	Ajuga species
251	ALCEBIE	Alcea biennis
252	ALCEROS	Alcea rosea
253	ALCE-SP	Alcea species
259	ALCHALI	Alchemilla alpina
263	ALCHBAL	Alchemilla baltica
270	ALCHCOR	Alchemilla corcontica
273	ALCHCRI	Alchemilla crinita
277	ALCHCYM	Alchemilla cymatophylla
279	ALCHEFF	Alchemilla effusa
282	ALCHFIL	Alchemilla filicaulis
283	ALCHF-F	Alchemilla filicaulis var. filicaulis
